Diet,Source,Donor,CollectionMet,Sex,OTU4496,OTU4154,OTU3857,OTU618,OTU5948,OTU5429,OTU3994,OTU5691,OTU5937,OTU6256,OTU5319,OTU1062,OTU1347,OTU710,OTU3263,OTU1333,OTU3991,OTU3406,OTU5420,OTU708,OTU4435,OTU2839,OTU5741,OTU1150,OTU453,OTU254,OTU4380,OTU1100,OTU1901,OTU5417,OTU5499,OTU4257,OTU6224,OTU1177,OTU675,OTU3102,OTU1132,OTU1462,OTU1629,OTU3828,OTU5502,OTU1812,OTU2728,OTU5711,OTU1779,OTU2516,OTU4877,OTU155,OTU4273,OTU4969
0,3,0,1,0,0.181259601,0.251920123,0.029185868,8.81e-11,0.033794163,0.03609831,0.002304147,5.8e-11,0.023809524,0.016897081,0.001536098,8.01e-11,0.025345622,0.001536098,4.15e-11,9.62e-11,0.039938556,0.021505376,0.013056836,0.000768049,0.009984639,0.006144393,7.58e-11,0.017665131,0.000768049,2.19e-11,3.22e-11,2.66e-11,1.15e-11,0.003072197,0.01843318,0.004608295,7.23e-11,0.013824885,0.001536098,8.41e-11,3.38e-11,0.003840246,0.004608295,1.96e-11,0.019201229,7.68e-11,0.001536098,0.000768049,8.72e-11,0.001536098,0.011520737,0.001536098,0.003840246,0.001536098
0,3,0,0,0,0.144432773,0.237920168,0.046218487,0.00157563,0.028361345,0.035189076,0.00262605,7.51e-11,0.034663866,0.031512605,0.00262605,9.33e-11,0.019957983,0.00157563,6.21e-11,0.004726891,0.035714286,0.011554622,0.009978992,5.99e-11,0.00157563,0.005777311,5.66e-11,0.015231092,7.06e-11,8.05e-11,1.46e-11,5.24e-11,2.91e-11,0.006827731,3.08e-11,0.009978992,0.00052521,0.020483193,0.004726891,9.41e-11,0.00052521,0.00210084,0.005252101,8.4e-11,0.015231092,0.005252101,4.84e-11,8.89e-11,3.97e-11,5.73e-12,0.022584034,0.003151261,0.00262605,3.5e-11
0,4,0,1,0,0.087885986,0.321456849,0.022961203,8.72e-11,0.040380048,0.030087094,0.002375297,1.38e-11,0.04354711,0.008709422,0.004750594,5.45e-11,0.029295329,0.000791766,5.52e-11,2.15e-11,0.034045922,0.03087886,0.013460016,4.25e-11,0.003958828,0.001583531,9.91e-11,0.015043547,7.57e-11,6.89e-11,6.79e-11,2.05e-11,6.59e-11,0.001583531,0.01821061,0.006334125,2.24e-11,0.008709422,0.001583531,6.34e-11,4.53e-11,0.002375297,0.003167063,5.63e-11,0.015835313,7.53e-12,0.003167063,0.001583531,8.88e-11,0.000791766,0.01266825,4.03e-11,0.001583531,6.85e-12
0,5,0,1,0,0.477124183,0.077614379,0.008169935,7.31e-11,0.011437908,0.017973856,0.003267974,6.56e-11,0.02369281,0.028594771,0.003267974,2.18e-11,0.011437908,5.61e-11,7.19e-11,4.52e-11,0.049019608,0.00245098,0.004084967,2.52e-11,0.005718954,0.006535948,5.27e-11,0.006535948,9.51e-11,4.69e-11,2.42e-11,9.45e-11,8.87e-11,0.001633987,0.01879085,0.006535948,0.000816993,0.022875817,0.001633987,9.87e-11,8.59e-11,0.001633987,0.004901961,4.67e-11,0.022058824,3.09e-11,0.00245098,0.001633987,2.21e-11,0.000816993,0.017156863,0.000816993,0.004084967,7.24e-11
0,6,0,1,0,0.696310312,0.002838221,4.77e-11,1.22e-11,0.000946074,0.000946074,1.69e-11,1.56e-11,0.00756859,0.000946074,0.002838221,8.35e-11,5.23e-12,0.003784295,6.12e-11,4.37e-11,0.04730369,0.000946074,0.000946074,1.3e-11,0.002838221,0.008514664,8.68e-11,0.044465468,3.6e-11,5.83e-11,5.16e-11,3.96e-11,5.53e-11,9.17e-11,0.008514664,0.000946074,3.92e-11,0.020813623,7.42e-12,4.24e-11,7.24e-11,0.000946074,0.000946074,2.79e-11,0.015137181,8.08e-11,5.15e-11,0.010406812,8.79e-11,7.5e-11,0.004730369,0.001892148,0.000946074,4.49e-11
0,7,0,1,0,0.736940299,0.005597015,0.001865672,6.57e-11,5.63e-11,0.000932836,3.57e-11,9.8e-11,0.000932836,0.003731343,0.003731343,1.6e-11,0.000932836,0.004664179,6.76e-11,4.15e-11,0.035447761,7.59e-11,2.97e-11,5.16e-11,0.005597015,0.001865672,1.93e-11,0.03358209,6.17e-11,7.12e-11,8.67e-11,7.54e-11,2.56e-12,2.86e-11,7.07e-11,3.41e-11,1.23e-11,0.02238806,3.22e-11,9.55e-11,5.81e-11,6.85e-11,4.45e-11,5.7e-11,0.016791045,6.97e-11,6.43e-11,0.008395522,3.64e-12,8.68e-11,0.004664179,0.001865672,0.000932836,3.68e-11
0,7,0,0,0,0.599003736,0.008094645,0.001867995,4.4e-11,0.003113325,0.00124533,7.19e-11,1.57e-11,0.00249066,0.006849315,0.00249066,0.000622665,0.00124533,0.001867995,2.8e-11,0.026774595,0.051058531,0.000622665,6.34e-11,9.33e-11,0.006849315,0.00622665,0.000622665,0.070983811,1.95e-11,5.48e-12,2.58e-11,6.13e-11,6e-11,6.64e-11,5.13e-11,9.42e-11,8.57e-11,0.030510585,7.1e-11,8.14e-11,7.76e-11,0.003113325,0.000622665,4.31e-11,0.026774595,0.00373599,9.7e-11,6.37e-11,6.37e-11,6.78e-11,0.01120797,0.00373599,0.005603985,2.66e-11
0,5,0,0,0,0.204199022,0.15271786,0.038826575,5.35e-11,0.034800115,0.035087719,0.005752085,3.64e-11,0.043140638,0.022720736,0.006902502,3.11e-11,0.022720736,0.001438021,1.04e-11,0.028472821,0.034800115,0.017256255,0.010641357,1.17e-11,0.002588438,0.008052919,5.67e-11,0.03106126,0.000287604,1.23e-11,7.36e-11,3.05e-11,1.68e-11,0.00201323,8.64e-11,0.01150417,0.00201323,0.032786885,0.006327294,7.77e-13,8.49e-11,0.000575209,0.004889272,3.91e-11,0.014380213,0.002588438,5.2e-11,3.4e-11,1.73e-11,2.87e-11,0.03307449,0.003451251,0.003451251,7.03e-11
0,8,0,1,0,0.586330935,0.01528777,0.007194245,3.77e-11,0.002697842,0.004496403,2.35e-11,7.92e-11,0.028776978,0.011690647,0.001798561,8.45e-11,0.001798561,0.005395683,8.89e-11,2.56e-11,0.040467626,3.53e-11,3.27e-11,4.58e-11,0.008992806,0.001798561,8.54e-11,0.017086331,6.11e-11,7.09e-12,9.42e-11,1.74e-11,8.69e-11,5.37e-11,0.009892086,0.003597122,8.84e-11,0.028776978,0.000899281,7.23e-11,9.63e-11,6.24e-11,0.001798561,1.25e-11,0.023381295,3.68e-11,0.000899281,0.001798561,8.75e-11,0.001798561,0.023381295,0.001798561,0.006294964,6.78e-11
0,8,0,0,0,0.515052356,0.035994764,0.031413613,6.22e-11,0.004581152,0.007198953,0.00065445,9.44e-11,0.02421466,0.020942408,0.001963351,9.53e-11,0.002617801,0.001308901,0.010471204,0.003272251,0.062172775,0.001308901,0.001963351,0.00065445,0.002617801,0.019633508,4.05e-11,0.034031414,6.96e-11,1.48e-11,7.47e-12,9.21e-11,4.45e-11,1.75e-11,1.98e-12,0.005235602,9.3e-11,0.02617801,0.001308901,6.16e-11,8.93e-11,7.31e-11,0.005235602,6.51e-11,0.02617801,8.09e-11,3.18e-11,3.46e-11,6.07e-11,9.99e-11,0.022251309,0.005890052,0.005235602,8.76e-11
